;Unnamed: 0;doi;author;year;title;abstract;BibTexID;included in paper review;exclusion_reasons;measurement modality;condition design;sample size;sample;pairing configuration;pairing setup;relationship pair;interaction scenario;interaction manipulation;type of communication;transfer of information;paradigm;task symmetry;analysis method;cognitive function;other_labels
21;21;10.1038/s41598-022-20704-8;Cross, Zachariah R. and Chatburn, Alex and Melberzs, Lee and Temby, Philip and Pomeroy, Diane and Schlesewsky, Matthias and Bornkessel-Schlesewsky, Ina;2022;Task-related, intrinsic oscillatory and aperiodic neural activity predict performance in naturalistic team-based training scenarios.;Effective teams are essential for optimally functioning societies. However, little is known regarding the neural basis of two or more individuals engaging cooperatively in real-world tasks, such as in operational training environments. In this exploratory study, we recruited forty individuals paired as twenty dyads and recorded dual-EEG at rest and during realistic training scenarios of increasing complexity using virtual simulation systems. We estimated markers of intrinsic brain activity (i.e., individual alpha frequency and aperiodic activity), as well as task-related theta and alpha oscillations. Using nonlinear modelling and a logistic regression machine learning model, we found that resting-state EEG predicts performance and can also reliably differentiate between members within a dyad. Task-related theta and alpha activity during easy training tasks predicted later performance on complex training to a greater extent than prior behaviour. These findings complement laboratory-based research on both oscillatory and aperiodic activity in higher-order cognition and provide evidence that theta and alpha activity play a critical role in complex task performance in team environments.;cross2022taskrelatedint;True;;EEG;within-subjects;40;healthy adults;dyad;['fm', 'mm'];n/s;['SBS', 'virtual'];['shared physical IM and verbal IM', 'separate digital IM and verbal IM'];goal-driven;mixed;ecologically valid setting;low;['temporal domain time', 'connectivity functional', 'temporal domain frequency'];['motor', 'executive function'];['AR', 'learning', 'EEG electrode number: 32']
22;22;10.1038/s41598-020-65670-1;"Gordon, Ilanit;
Gilboa, Avi;
Cohen, Shai;
Milstein, Nir;
Haimovich, Nir;
Pinhasi, Shay;
Siegman, Shahar";2020;Physiological and Behavioral Synchrony Predict Group Cohesion and Performance;Interpersonal synchrony contributes to social functioning in dyads, but it remains unknown how synchrony shapes group experiences and performance. To this end, we designed a novel group drumming task in which participants matched their drumming to either predictable or unpredictable tempos. Fifty-one three-person groups were randomly assigned to one of two conditions: synchronized or asynchronized drumming. Outcome measures included electrocardiograms and self-reports of group cohesion and synchrony. The drumming task elicited an increase in physiological synchrony between group members (specifically their hearts’ interbeat intervals). We also found that physiological synchronization and behavioral synchronization predicted individuals’ experience of group cohesion. Physiological synchrony also predicted performance in a subsequent group task that involved freely drumming together. The findings suggest that the behavioral and physiological consequences of synchronization contribute to the formation of group bonds and coordination. They also confirm that insights from translational social neuroscience can inform our knowledge of the development of cohesive and efficacious groups.;gordon2020physiologicala;False;submission after publication;['ECG'];['between-subjects'];141;['healthy adults'];['triad'];['n/s'];['familiar', 'unfamiliar'];['FTF'];['physical IM w/out verbal IM'];['goal-driven'];['analog'];['coordination tasks'];['high'];['connectivity functional'];['motor'];['drumming task']
23;23;10.1186/s41239-022-00356-4;Du, Xu and Zhang, Lizhao and Hung, Jui-Long and Li, Hao and Tang, Hengtao and Xie, Yiqian;2022;Understand group interaction and cognitive state in online collaborative problem solving: leveraging brain-to-brain synchrony data;The purpose of this study aimed to analyze the process of online collaborative problem solving (CPS) via brain-to-brain synchrony (BS) at the problem-understanding and problem-solving stages. Aiming to obtain additional insights than traditional approaches (survey and observation), BS refers to the synchronization of brain activity between two or more people, as an indicator of interpersonal interaction or common attention. Thirty-six undergraduate students participated. Results indicate the problem-understanding stage showed a higher level of BS than the problem-solving stage. Moreover, the level of BS at the problem-solving stage was significantly correlated with task performance. Groups with all high CPS skill students had the highest level of BS, while some of the mixed groups could achieve the same level of BS. BS is an effective indicator of CPS to group performance and individual interaction. Implications for the online CPS design and possible supports for the process of online CPS activity are also discussed.;du2022understandgrou;True;;EEG;within-subjects;36;healthy adults;triad;n/s;familiar;virtual;separate digital IM and verbal IM;mixed;digital;['ecologically valid setting', 'cooperation/competition tasks'];high;['temporal domain time', 'connectivity functional', 'temporal domain frequency'];['language', 'attention', 'executive function'];['EEG electrode number: 1', 'phase locking value']
24;24;10.1093/cercor/bhad487;Floesch, Karl-Philipp and Flaisch, Tobias and Imhof, Martin A. and Schupp, Harald T.;2024;Alpha/beta oscillations reveal cognitive and affective brain states associated with role taking in a dyadic cooperative game;Social cooperation often requires taking different roles in order to reach a shared goal. By defining individual tasks, these roles dictate processing demands of the collaborators. The main aim of the present study was to examine the hypothesis that induced alpha and lower beta oscillations provide insights into affective and cognitive brain states during social cooperation. Toward this end, an experimental game was used in which participants had to navigate a Pacman figure through a maze by sending and receiving information about the correct moving direction. Supporting our hypotheses, individual roles taken by the collaborators during gameplay were associated with significant changes in alpha and lower beta power. Furthermore, effects were similar when participants played the Pacman Game with human or computer partners. Findings are discussed from the perspective of the information-via-desynchronization hypothesis proposing that alpha and lower beta power decreases reflect states of enhanced cortical information representation. Overall, experimental games are a useful tool for extending basic research on brain oscillations to the domain of naturalistic social interaction as emphasized by the second-person neuroscience perspective.;floesch2024alphabetaoscil;True;;EEG;within-subjects;32;healthy adults;dyad;['ff', 'mm'];familiar;virtual;separate digital IM w/out verbal IM;goal-driven;digital;cooperation/competition tasks;high;['spatial domain sensor', 'temporal domain frequency'];['memory', 'language', 'social cognition', 'executive function'];['EEG electrode number: 128']
25;25;10.1007/s11409-021-09279-3;"Haataja, Eetu;
Malmberg, Jonna;
Dindar, Muhterem;
Järvelä, Sanna";2022;The pivotal role of monitoring for collaborative problem solving seen in interaction, performance, and interpersonal physiology;Being aware of the progress towards one’s goals is considered one of the main characteristics of the self-regulation process. This is also the case for collaborative problem solving, which invites group members to metacognitively monitor the progress with their goals and externalize it in social interactions while solving a problem. Monitoring challenges can activate group members to control the situation together, which can be seen as adjustments on different systemic levels (physiological, psychological, and interpersonal) of a collaborative group. This study examines how the pivotal role of monitoring for collaborative problem solving is reflected in interactions, performance, and interpersonal physiology. The study has foci in two central characteristics of monitoring interactions that facilitate groups’ regulation in reaching their goals. First is valence of monitoring, indicating whether the group members think they are progressing towards their goal or not. Second is equality of participation in monitoring interactions between group members. Participants of the study were volunteering higher education students (N = 57), randomly assigned to groups of three members whose collaborative task was to learn to run a business simulation. The collaborative task was video recorded, and the physiological arousal of each participant was recorded from their electrodermal activity. The results of the study suggest that both the valence and equality of participation are identifiable in monitoring interactions and they both positively predict groups’ performance in the task. Equality of participation to monitoring was not related to the interpersonal physiology. However, valence of monitoring was related to interpersonal physiology in terms of physiological synchrony and arousal. The findings support the view that characteristics of monitoring interactions make a difference to task performance in collaborative problem solving and that interpersonal physiology relates to these characteristics.;haataja2022thepivotalrole;False;Study Design | Collaborative scenario with >= 1 remote interaction manipulative ([virtually] separated during interaction);['EDA', 'camera-based tracking'];within-subjects;57;['healthy adults'];['triad'];fm;['unfamiliar'];n/s;['shared digital IM and verbal IM'];['mixed'];['analog'];['ecologically valid setting'];high;['connectivity functional', 'temporal domain time'];['executive function'];['collaborative problem solving', 'emotional valence']
26;26;10.1111/psyp.14433;Floesch, Karl-Philipp and Flaisch, Tobias and Imhof, Martin A. and Schupp, Harald T.;2024;Dyadic cooperation with human and artificial agents: Event-related potentials trace dynamic role taking during an interactive game;Humans are highly co-operative and thus cognitively, affectively, and motivationally tuned to pursue shared goals. Yet, cooperative tasks typically require people to constantly take and switch individual roles. Task relevance is dictated by these roles and thereby dynamically changing. Here, we designed a dyadic game to test whether the family of P3 components can trace this dynamic allocation of task relevance. We demonstrate that late positive event-related potential (ERP) modulations not only reflect predictable asymmetries between receiving and sending information but also differentiate whether the receiver's role is related to correct decision making or action monitoring. Furthermore, similar results were observed when playing the game with a computer, suggesting that experimental games may motivate humans to similarly cooperate with an artificial agent. Overall, late positive ERP waves provide a real-time measure of how role taking dynamically shapes the meaning and relevance of stimuli within collaborative contexts. Our results, therefore, shed light on how the processes of mutual coordination unfold during dyadic cooperation.;floesch2024dyadiccooperat;True;;EEG;within-subjects;24;healthy adults;dyad;['ff', 'mm'];familiar;virtual;separate digital IM w/out verbal IM;goal-driven;digital;cooperation/competition tasks;high;temporal domain time;['memory', 'language', 'social cognition', 'executive function'];['EEG electrode number: 128']
27;27;10.1016/j.cag.2020.10.003;Gumilar, Ihshan and Sareen, Ekansh and Bell, Reed and Stone, Augustus and Hayati, Ashkan and Mao, Jingwen and Barde, Amit and Gupta, Anubha and Dey, Arindam and Lee, Gun and Billinghurst, Mark;2021;A comparative study on inter-brain synchrony in real and virtual environments using hyperscanning;"Researchers have employed hyperscanning, a technique used to simultaneously record neural activity from multiple participants, in real-world collaborations. However, to the best of our knowledge, there is no study that has used hyperscanning in Virtual Reality (VR). The aims of this study were; firstly, to replicate results of inter-brain synchrony reported in existing literature for a real world task and secondly, to explore whether the inter-brain synchrony could be elicited in a Virtual Environment (VE). This paper reports on three pilot-studies in two different settings (real-world and VR). Paired participants performed two sessions of a finger-pointing exercise separated by a finger-tracking exercise during which their neural activity was simultaneously recorded by electroencephalography (EEG) hardware. By using phase locking value (PLV) analysis, VR was found to induce similar inter-brain synchrony as seen in the real-world. Further, it was observed that the finger-pointing exercise shared the same neurally activated area in both the real-world and VR. Based on these results, we infer that VR can be used to enhance inter-brain synchrony in collaborative tasks carried out in a VE. In particular, we have been able to demonstrate that changing visual perspective in VR is capable of eliciting inter-brain synchrony. This demonstrates that VR could be an exciting platform to explore the phenomena of inter-brain synchrony further and provide a deeper understanding of the neuroscience of human communication. (C) 2020 Elsevier Ltd. All rights reserved.";gumilar2021acomparativest;True;;EEG;within-subjects;24;healthy adults;dyad;n/s;unfamiliar;virtual;['non-verbal IM', 'shared digital IM w/out verbal IM'];goal-driven;mixed;coordination tasks;high;['spatial domain source', 'connectivity effective'];['motor', 'visuospatial cognition'];['EEG electrode number: 16', 'VR']
28;28;10.1093/scan/nsaa056;Heggli, Ole Adrian and Konvalinka, Ivana and Cabral, Joana and Brattico, Elvira and Kringelbach, Morten L and Vuust, Peter;2021;Transient brain networks underlying interpersonal strategies during synchronized action;Interpersonal coordination is a core part of human interaction, and its underlying mechanisms have been extensively studied using social paradigms such as joint finger-tapping. Here, individual and dyadic differences have been found to yield a range of dyadic synchronization strategies, such as mutual adaptation, leading-leading, and leading-following behaviour, but the brain mechanisms that underlie these strategies remain poorly understood. To identify individual brain mechanisms underlying emergence of these minimal social interaction strategies, we contrasted EEG-recorded brain activity in two groups of musicians exhibiting the mutual adaptation and leading-leading strategies. We found that the individuals coordinating via mutual adaptation exhibited a more frequent occurrence of phase-locked activity within a transient action-perception-related brain network in the alpha range, as compared to the leading-leading group. Furthermore, we identified parietal and temporal brain regions that changed significantly in the directionality of their within-network information flow. Our results suggest that the stronger weight on extrinsic coupling observed in computational models of mutual adaptation as compared to leading-leading might be facilitated by a higher degree of action-perception network coupling in the brain. © 2020 The Author(s) 2020. Published by Oxford University Press.;heggli2021transientbrain;False;Study Design | Collaborative scenario with >= 1 remote interaction manipulative ([virtually] separated during interaction);EEG;within-subjects;22;healthy adults;dyad;n/s;n/s;SBS;shared digital IM w/out verbal IM;goal-driven;digital;imitation tasks;high;['spatial domain source', 'connectivity functional', 'machine learning supervised'];motor;['leader-follower']
29;29;10.1093/scan/nsy070;Hirsch, J. and Noah, J.A. and Zhang, X. and Dravida, S. and Ono, Y.;2018;A cross-brain neural mechanism for human-to-human verbal communication;Neural mechanisms that mediate dynamic social interactions remain understudied despite their evolutionary significance. The interactive brain hypothesis proposes that interactive social cues are processed by dedicated brain substrates and provides a general theoretical framework for investigating the underlying neural mechanisms of social interaction. We test the specific case of this hypothesis proposing that canonical language areas are upregulated and dynamically coupled across brains during social interactions based on talking and listening. Functional near-infrared spectroscopy (fNIRS) was employed to acquire simultaneous deoxyhemoglobin (deOxyHb) signals of the brain on partners who alternated between speaking and listening while doing an Object Naming & Description task with and without interaction in a natural setting. Comparison of interactive and non-interactive conditions confirmed an increase in neural activity associated with Wernicke's area including the superior temporal gyrus (STG) during interaction (P = 0.04). However, the hypothesis was not supported for Broca's area. Cross-brain coherence determined by wavelet analyses of signals originating from the STG and the subcentral area was greater during interaction than non-interaction (P < 0.01). In support of the interactive brain hypothesis these findings suggest a dynamically coupled cross-brain neural mechanism dedicated to pathways that share interpersonal information. © The Author(s) 2018.;hirsch2018acrossbrainneu;False;Study Design | Collaborative scenario with >= 1 remote interaction manipulative ([virtually] separated during interaction);fNIRS;within-subjects;62;healthy adults;dyad;['ff', 'fm', 'mm'];unfamiliar;FTF v-b;separate digital IM and verbal IM;goal-driven;digital;not applicable;low;['spatial domain source', 'connectivity functional'];language;['fNIRS channel number: 42']
30;30;10.3389/frvir.2025.1469105;Hayati, Ashkan F. and Barde, Amit and Gumilar, Ihshan and Momin, Abdul and Lee, Gun and Chatburn, Alex and Billinghurst, Mark;2025;Inter-brain synchrony in real-world and virtual reality search tasks using EEG hyperscanning;This study investigates inter-brain synchronization during a collaborative visual search task performed in Virtual Reality (VR), and compares it to the same task executed in a real-world environment. Previous research has demonstrated that collaborative visual search in real-world settings leads to measurable neural synchrony, as captured through EEG hyperscanning. However, limited work has explored whether similar neural dynamics occur in immersive VR. In this study, we recorded EEG hyperscanning data from participant pairs engaged in a joint visual search task, conducted in both VR and physical settings. Our results reveal that inter-brain synchronization occurred in the VR condition at levels comparable to the real world. Furthermore, greater neural synchrony was positively correlated with better task performance across both conditions. These findings demonstrate that VR is a viable platform for studying inter-brain dynamics in collaborative tasks, and support its use for future team-based neuroscience research in simulated environments.},;hayati2025interbrainsync;True;;EEG;within-subjects;28;healthy adults;dyad;['ff', 'fm', 'mm'];familiar;['SBS', 'virtual'];shared digital IM and verbal IM;goal-driven;mixed;cooperation/competition tasks;high;connectivity functional;visuospatial cognition;['EEG electrode number: 32', 'phase locking value', 'VR']
31;31;10.1016/j.neuroimage.2022.119739;Hou, Yingying and Zhang, Dingning and Gan, Xiaorong and Hu, Yi;2022;Group polarization calls for group-level brain communication;"Group of people shows the shift towards extreme of decision-making as opposed to individuals. Previous studies have revealed two directions of group polarization, i.e., risky shift and cautious shift, but how group of brains drive these shifts remains unknown. In the current study, we arranged risk advantage and disadvantage situations to elicit group polarization of risky shift and cautious shift respectively, and examined the averaged inter-brain synchronization (ABS) among participant triads during group decision making versus individual decision making. The elicited group polarizations were accompanied by the enhanced ABS at bilateral prefrontal areas and left temporoparietal junction (TPJ). Specifically, the TPJ ABS was equivalent in risky shift and cautious shift, and based on machine learning analyses, could predict the extent of group polarization; for two shifts, it negatively correlated with negative emotion. However, the right prefrontal ABS was stronger in risky shift than in cautious shift, and the same area showed the larger brain deactivation in former shift, indicating weaker executive control. For the left prefrontal ABS, only the equivalent ABS was found for two shifts. In sum, group polarization of risky shift and cautious shift calls for inter-brain communication at the group level, and the former shift is with deactivation and more brain synchronization. Our study suggests emotional and cognitive adjustment in decision making of the group compared with individuals. © 2022 The Author(s)";hou2022grouppolarizat;False;Study Design | Collaborative scenario with >= 1 remote interaction manipulative ([virtually] separated during interaction);fNIRS;within-subjects;57;healthy adults;triad;ff;unfamiliar;FTF;['separate digital IM and verbal IM', 'separate digital IM w/out verbal IM'];goal-driven;mixed;cooperation/competition tasks;high;['connectivity functional', 'temporal domain frequency', 'spatial domain sensor'];executive function;['wavelet transform coherence']
32;32;10.1016/j.dcn.2021.100937;"Hoyniak, Caroline P.;
Quinones-Camacho, Laura E.;
Camacho, M. Catalina;
Chin, Jenna H.;
Williams, Elizabeth M.;
Wakschlag, Lauren S.;
Perlman, Susan B.";2021;Adversity is Linked with Decreased Parent-Child Behavioral and Neural Synchrony;Parent-child synchrony—parent-child interaction patterns characterized by contingent social responding, mutual responsivity, and co-regulation—has been robustly associated with adaptive child outcomes. Synchrony has been investigated in both behavioral and biological frameworks. While it has been demonstrated that adversity can influence behavioral parent-child synchrony, the neural mechanisms by which this disruption occurs are understudied. The current study examined the association between adversity, parent-child behavioral synchrony, and parent-child neural synchrony across lateral prefrontal cortical regions using functional near-infrared spectroscopy hyperscanning during a parent-child interaction task that included a mild stress induction followed by a recovery period. Participants included 115 children (ages 4-5) and their primary caregivers. Parent-child behavioral synchrony was quantified as the amount time the dyad was synchronous (e.g., reciprocal communication, coordinated behaviors) during the interaction task. Parent-child neural synchrony was examined as the hemodynamic concordance between parent and child lateral PFC activation. Adversity was examined across two, empirically-derived domains: sociodemographic risk (e.g., family income) and familial risk (e.g., household chaos). Adversity, across domains, was associated with decreased parent-child behavioral synchrony across task conditions. Sociodemographic risk was associated with decreased parent-child neural synchrony in the context of experimentally-induced stress. These findings link adversity to decreased parent-child behavioral and neural synchrony.;hoyniak2021adversityislin;False;Population | >= 2 clinically healthy adult participants that are interacting and scanned simultaneously;fNIRS;within-subjects;230;['children', 'healthy adults'];dyad;['ff', 'fm', 'mm'];parent-child;['SBS', 'FTF'];['shared digital IM and verbal IM', 'shared physical IM and verbal IM'];open-ended;analog;['cooperation/competition tasks', 'ecologically valid setting'];high;['connectivity functional'];['social cognition', 'other'];['fNIRS channel number: 10']
33;33;10.1002/brb3.2270;Léné, Paul and Karran, Alex and er J. and Labonté-Lemoyne, Elise and Sénécal, Sylvain and Fredette, Marc and Johnson, Kevin J. and Léger, Pierre-Majorique;2021;Is there collaboration specific neurophysiological activation during collaborative task activity? An analysis of brain responses using electroencephalography and hyperscanning;Collaboration between two individuals is thought to be associated with the synchrony of two different brain activities. Indeed, prefrontal cortical activation and alpha frequency band modulation has been widely reported, but little is known about interbrain synchrony (IBS) changes occurring during social interaction such as collaboration or competition. In this study, we assess the dynamic of IBS variation in order to provide novel insights into the frequency band modulation underlying collaboration. To address this question, we used electroencephalography (EEG) to simultaneously record the brain activity of two individuals playing a computer-based game facing four different conditions: collaboration, competition, single participation, and passive observation. The computer-based game consisted of a fast button response task. Using data recorded in sensor space, we calculated an IBS value for each frequency band using both wavelet coherence transform and phase-locking value and performed single-subject analysis to compare each condition. We found significant IBS in frontal electrodes only present during collaboration associated with alpha frequency band modulation. In addition, we observed significant IBS in the theta frequency band for both collaboration and competition conditions, along with a significant single-subject cortical activity. Competition is distinguishable through single-subject activity in several regions and frequency bands of the brain. Performance is correlated with single-subject frontal activation during collaboration in the alpha and beta frequency band. © 2021 The Authors. Brain and Behavior published by Wiley Periodicals LLC;lene2021istherecollabo;True;;EEG;within-subjects;46;healthy adults;dyad;n/s;unfamiliar;SBS v-b;shared digital IM w/out verbal IM;goal-driven;digital;cooperation/competition tasks;high;['connectivity functional', 'temporal domain frequency'];['attention', 'executive function'];['EEG electrode number: 32', 'phase locking value', 'wavelet transform coherence', 'screen']
34;34;10.1093/scan/nsaf028;Kim, H. and Kim, S. and Jun, S.C. and Nam, C.S.;2025;Is what I think what you think? Multilayer network-based inter-brain synchrony approach;Social interaction plays a crucial role in human societies, encompassing complex dynamics among individuals. To understand social interaction at the neural level, researchers have utilized hyperscanning in several social settings. These studies have mainly focused on inter-brain synchrony and the efficiency of paired functional brain networks, examining group interactions in dyads. However, this approach may not fully capture the complexity of multiple interactions, potentially leading to gaps in understanding inter-network differences. To overcome this limitation, the present study aims to bridge this gap by introducing methodological enhancements using the multilayer network approach, which is tailored to extract features from multiple networks. We applied this strategy to analyze the triad condition during social behavior processes to identify group interaction indices. Additionally, to validate our methodology, we compared the multilayer networks of triad conditions with group synchrony to paired conditions without group synchrony, focusing on statistical differences between alpha and beta waves. Correlation analysis between inter-brain and group networks revealed that this methodology accurately reflects the characteristics of actual behavioral synchrony. The findings of our study suggest that measures of paired brain synchrony and group interaction may exhibit distinct trends, offering valuable insights into interpreting group synchrony. © The Author(s) 2025. Published by Oxford University Press.;kim2025iswhatithinkwh;False;Population | >= 2 clinically healthy adult participants that are interacting and scanned simultaneously;EEG;within-subjects;12;adolescents;more (n_group = 13);fm;familiar;FTF;shared physical IM and verbal IM;open-ended;analog;ecologically valid setting;['high', 'low'];['machine learning supervised', 'connectivity functional'];['social cognition', 'language'];['EEG electrode number: 14', 'classroom dataset by Dikker et al. (2017)']
35;35;10.1523/ENEURO.0284-18.2019;Koike, Takahiko and Sumiya, Motofumi and Nakagawa, Eri and Okazaki, Shuntaro and Sadato, Norihiro;2019;What makes eye contact special? Neural substrates of on-line mutual eye-gaze: A hyperscanning fMRI study;Automatic mimicry is a critical element of social interaction. A salient type of automatic mimicry is eye contact characterized by sharing of affective and mental states among individuals. We conducted a hyperscanning functional magnetic resonance imaging study involving on-line (LIVE) and delayed off-line (REPLAY) conditions to test our hypothesis that recurrent interaction through eye contact activates the limbic mirror system, including the anterior cingulate cortex (ACC) and anterior insular cortex (AIC), both of which are critical for self-awareness. Sixteen pairs of human adults participated in the experiment. Given that an eye-blink represents an individual’s attentional window toward the partner, we analyzed pairwise time-series data for eye-blinks. We used multivariate autoregression analysis to calculate the noise contribution ratio (NCR) as an index of how a participant’s directional attention was influenced by that of their partner. NCR was greater in the LIVE than in the REPLAY condition, indicating mutual perceptual-motor interaction during real-time eye contact. Relative to the REPLAY condition, the LIVE condition was associated with greater activation in the left cerebellar hemisphere, vermis, and ACC, accompanied by enhanced functional connectivity between ACC and right AIC. Given the roles of the cerebellum in sensorimotor prediction and ACC in movement initiation, ACCcerebellar activation may represent their involvement in modulating visual input related to the partner’s movement, which may, in turn, involve the limbic mirror system. Our findings indicate that mutual interaction during eye contact is mediated by the cerebellum and limbic mirror system. © 2019 Koike et al.;koike2019whatmakeseyeco;False;Study Design | Collaborative scenario with >= 1 remote interaction manipulative ([virtually] separated during interaction);['other', 'Eye-tracking', 'camera-based tracking'];within-subjects;34;healthy adults;dyad;['ff', 'mm'];unfamiliar;virtual;non-verbal IM;open-ended;digital;eye-contact/gaze-based tasks;high;['other', 'temporal domain time', 'connectivity effective'];social cognition;['ACC', 'AIC', 'eye', 'fMRI', 'leader-follower', 'number of eye-blinks', 'eyes tracked with MRI cameras']
36;36;10.1093/cercor/bhae131;Liu, Y. and Zhang, Y. and Zhong, Y. and Liu, J. and Zhang, C. and Meng, Y. and Pang, N. and Cheng, X. and Wang, H.;2024;Favoritism or bias? Cooperation and competition under different intergroup relationships: evidence from EEG hyperscanning;Cooperation and competition are the most common forms of social interaction in various social relationships. Intergroup relationships have been posited to influence individuals’ interpersonal interactions significantly. Using electroencephalography hyperscanning, this study aimed to establish whether intergroup relationships influence interpersonal cooperation and competition and the underlying neural mechanisms. According to the results, the in-group Coop-index is better than the out-group, whereas the out-group Comp-index is stronger than the in-group. The in-group functional connectivity between the frontal-central region and the right temporoparietal junction in the β band was stronger in competition than cooperation. The out-group functional connectivity between the frontal-central region and the left temporoparietal junction in the α band was stronger in cooperation than competition. In both cooperation and competition, the in-group exhibited higher interbrain synchronization between the prefrontal cortex and parietal region in the θ band, as well as between the frontal-central region and frontal-central region in the α band, compared to the out-group. The intrabrain phase-locking value in both the α and β bands can effectively predict performance in competition tasks. Interbrain phase-locking value in both the α and θ bands can be effectively predicted in a performance cooperation task. This study offers neuroscientific evidence for in-group favoritism and out-group bias at an interpersonal level. © The Author(s) 2024. Published by Oxford University Press. All rights reserved.;liu2024favoritismorbi;True;;EEG;within-subjects;104;healthy adults;dyad;['ff', 'mm'];unfamiliar;SBS v-b;separate digital IM w/out verbal IM;goal-driven;digital;cooperation/competition tasks;high;['connectivity functional', 'temporal domain frequency'];social cognition;['EEG electrode number: 64']
37;37;10.1016/j.neuroimage.2023.120233;Koul, Atesh and Ahmar, Davide and Iannetti, Gian Domenico and Novembre, Giacomo;2023;Spontaneous dyadic behavior predicts the emergence of interpersonal neural synchrony;Synchronization of neural activity across brains – Interpersonal Neural Synchrony (INS) – is emerging as a powerful marker of social interaction that predicts success of multi-person coordination, communication, and cooperation. As the origins of INS are poorly understood, we tested whether and how INS might emerge from spontaneous dyadic behavior. We recorded neural activity (EEG) and human behavior (full-body kinematics, eye movements, and facial expressions) while dyads of participants were instructed to look at each other without speaking or making co-verbal gestures. We made four fundamental observations. First, despite the absence of a structured social task, INS emerged spontaneously only when participants were able to see each other. Second, we show that such spontaneous INS, comprising specific spectral and topographic profiles, did not merely reflect intra-personal modulations of neural activity, but it rather reflected real-time and dyad-specific coupling of neural activities. Third, using state-of-art video-image processing and deep learning, we extracted the temporal unfolding of three notable social behavioral cues – body movement, eye contact, and smiling – and demonstrated that these behaviors also spontaneously synchronized within dyads. Fourth, we probed the correlates of INS in such synchronized social behaviors. Using cross-correlation and Granger causality analyses, we show that synchronized social behaviors anticipate and in fact Granger cause INS. These results provide proof-of-concept evidence for studying interpersonal neural and behavioral synchrony under natural and unconstrained conditions. Most importantly, the results suggest that INS could be conceptualized as an emergent property of two coupled neural systems: an entrainment phenomenon, promoted by real-time dyadic behavior. © 2023 The Author(s);koul2023spontaneousdya;False;Study Design | Collaborative scenario with >= 1 remote interaction manipulative ([virtually] separated during interaction);['EEG', 'Eye-tracking', 'camera-based tracking'];within-subjects;46;healthy adults;dyad;['ff', 'mm'];familiar;['FTF', 'FTF v-b'];non-verbal IM;open-ended;analog;eye-contact/gaze-based tasks;high;['connectivity functional', 'machine learning supervised'];social cognition;['learning', 'Granger causality', 'no collaboration']
38;38;10.1016/j.neuropsychologia.2022.108316;Wikström, Valtteri and Saarikivi, Katri and Falcon, Mari and Makkonen, Tommi and Martikainen, Silja and Putkinen, Vesa and Cowley, Benjamin Ultan and Tervaniemi, Mari;2022;Inter-brain synchronization occurs without physical co-presence during cooperative online gaming;Inter-brain synchronization during social interaction has been linked with several positive phenomena, including closeness, cooperation, prosociality, and team performance. However, the temporal dynamics of inter-brain synchronization during collaboration are not yet fully understood. Furthermore, with collaboration increasingly happening online, the dependence of inter-brain phase synchronization of oscillatory activity on physical presence is an important but understudied question. In this study, physically isolated participants performed a collaborative coordination task in the form of a cooperative multiplayer game. We measured EEG from 42 subjects working together as pairs in the task. During the measurement, the only interaction between the participants happened through on-screen movement of a racing car, controlled by button presses of both participants working with distinct roles, either controlling the speed or the direction of the car. Pairs working together in the task were found to have elevated neural coupling in the alpha, beta, and gamma frequency bands, compared to performance matched false pairs. Higher gamma synchrony was associated with better momentary performance within dyads and higher alpha synchrony was associated with better mean performance across dyads. These results are in line with previous findings of increased inter-brain synchrony during interaction, and show that phase synchronization of oscillatory activity occurs during online real-time joint coordination without any physical co-presence or video and audio connection. Synchrony decreased during a playing session, but was found to be higher during the second session compared to the first. The novel paradigm, developed for the measurement of real-time collaborative performance, demonstrates that changes in inter-brain EEG phase synchrony can be observed continuously during interaction.;wikstrom2022interbrainsync;True;;EEG;within-subjects;42;healthy adults;dyad;['ff', 'fm', 'mm'];familiar;virtual;shared digital IM w/out verbal IM;goal-driven;digital;cooperation/competition tasks;low;['spatial domain sensor', 'connectivity effective', 'connectivity functional', 'temporal domain frequency'];['motor', 'attention', 'executive function', 'visuospatial cognition'];['EEG electrode number: 64']
